# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Apr  4 14:25:57 2026
#
# User preference: *
#
# COLUMN toi:            TESS Object of Interest
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_orbpererr1:  Planet Orbital Period Upper Unc [days]
# COLUMN pl_orbpererr2:  Planet Orbital Period Lower Unc [days]
# COLUMN pl_orbperlim:   Planet Orbital Period Limit Flag
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandurherr1: Planet Transit Duration Upper Unc [hours]
# COLUMN pl_trandurherr2: Planet Transit Duration Lower Unc [hours]
# COLUMN pl_trandurhlim: Planet Transit Duration Limit Flag
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc [R_Earth]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc [R_Earth]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_tefferr1:    Stellar Effective Termperature Upper Unc [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN st_raderr1:     Stellar Radius Upper Unc [R_Sun]
# COLUMN st_raderr2:     Stellar Radius Lower Unc [R_Sun]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN toi_created:    TOI Created Date
#
toi,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created
1046.01,1.3042553,0.0000020,-0.0000020,0,1.7060000,0.2130000,-0.2130000,0,9.3647200,1.3064700,-1.3064700,0,6762.0000000,130.2000000,-130.2000000,0,1.7500000,0.0700000,-0.0700000,0,2019-07-24 18:44:12
1047.01,0.6262700,0.0000200,-0.0000200,0,0.6660000,0.1690000,-0.1690000,0,5.7216200,0.8944620,-0.8944620,0,5622.0000000,131.2000000,-131.2000000,0,0.9300000,0.0500000,-0.0500000,0,2019-07-24 18:44:12
1048.01,0.3041200,0.0000100,-0.0000100,0,0.7480000,0.1000000,-0.1000000,0,10.4170000,0.6680570,-0.6680570,0,11892.0000000,235.8000000,-235.8000000,0,2.5200000,0.0900000,-0.0900000,0,2019-07-24 18:44:12
1049.01,2.1805333,0.0000016,-0.0000016,0,2.9443745,0.0347185,-0.0347185,0,16.6994623,0.8662543,-0.8662543,0,6599.0000000,200.0000000,-200.0000000,0,1.2714601,0.0635578,-0.0635578,0,2019-07-15 19:20:04
105.01,2.1846669,0.0000005,-0.0000005,0,2.8652800,0.0090748,-0.0090748,0,13.7028527,0.6619751,-0.6619751,0,5630.0000000,,,0,1.2382400,0.0596985,-0.0596985,0,2018-09-05 18:49:20
1050.01,3.7354838,0.0000021,-0.0000021,0,4.1420000,0.0450000,-0.0450000,0,21.2315000,1.1957900,-1.1957900,0,6650.0000000,,,0,1.5700000,0.0900000,-0.0900000,0,2019-07-15 19:20:05
1051.01,21.7016690,0.0095323,-0.0095323,0,8.2676424,0.5088978,-0.5088978,0,2.3751494,0.6983451,-0.6983451,0,5625.0000000,80.0000000,-80.0000000,0,1.5648600,0.1866290,-0.1866290,0,2019-08-16 20:20:45
1052.01,9.1398040,0.0001109,-0.0001109,0,3.0912936,0.6627002,-0.6627002,0,3.0629855,2.8175755,-2.8175755,0,5958.2000000,76.0000000,-76.0000000,0,1.5800000,0.1651230,-0.1651230,0,2019-08-16 20:20:47
1053.01,5.7426250,0.0006210,-0.0006210,0,2.8602930,0.2304990,-0.2304990,0,13.0885320,3.6366680,-3.6366680,0,5664.0000000,188.0000000,-188.0000000,0,3.8695900,0.6445680,-0.6445680,0,2019-08-16 20:20:42
1054.01,15.5077855,0.0002372,-0.0002372,0,4.5650000,0.4270000,-0.4270000,0,2.4343200,0.1429570,-0.1429570,0,6122.0000000,194.0000000,-194.0000000,0,1.1700000,0.0500000,-0.0500000,0,2019-08-16 20:20:48
